Puesto,Rango Salarial,Empresa
Sub Gerente Adjunto - Sostenibilidad,"S/5,100 ",BCP
CX Senior Analyst,"S/4,000 ",BCP
Spoke Hunter - Banca empresa GCPE,"S/3,500 ",BCP
Business Specialist Senior,"S/6,000 ",BCP
Business Specialist - Bancassurance,"S/3,000 ",BCP
Product Assistant - Bancassurance,"S/2,000 ",BCP
Business Specialist Clientes Digitales,"S/3,010 ",BCP
Analista Estadístico de Fraudes II,"S/ 3,600 - S/ 4,715",BCP
Business Specialist | Personal Banking,"S/3,000 ",BCP
Analista de Negocios II - Banca Negocio Minorista,"S/ 3,100 - S/ 3,700",BCP
Sub Gerente Adjunto - Pricing | Analytics Engineer,"S/6,500 ",BCP
Gerente Adjunto de Proyectos y Pricing,"S/9,424 ",BCP
Sub Gerente de Proyectos y Pricing,"S/8,195 ",BCP
Sub Gerente Adjunto de Gestión Comercial,"S/5,700 ",BCP
Analista Senior de Gestión Comercial,"S/3,500 ",BCP
Analista Senior de Gestión de Información,"S/3,500 ",BCP
Data Science,"S/4,500 ",BCP
Gerente general,"S/ 149,500 - S/ 171,800",BCP
Gerente General Adjunto de Empresas,"S/85,000 ",BCP
EF Reconecta Senior Analyst,"S/ 3,500 - S/ 4,025",BCP
EF Reconecta Product Analyst,"S/2,710 ",BCP
Business Specialist,"S/ 3,000 - S/ 3,360",BCP
Tech Lead,"S/8,000 ",BCP
Analytics Translator,"S/3,500 ",BCP
Business Specialist - Staff PYME DCA,"S/2,800 ",BCP
Líder Service Experience Design en Centro de Innovación (CIX) BCP,"S/ 8,900 - S/ 9,800",BCP
Senior Design researcher,"S/7,500 ",BCP
Senior Data Architect,"S/10,500 ",BCP
Subgerente Adjunto de Producto,"S/4,600 ",BCP
Business Specialist Advanced,"S/3,500 ",BCP
Business Specialist,"S/3,000 ",BCP
Product Assistant,"S/2,000 ",BCP
Performance & Compensation Specialist,"S/9,000 ",BCP
Product Owner - New Business Development,"S/10,500 ",BCP
Product Owner - Crecemás BCP,"S/9,353 ",BCP
Gerente de Comportamiento del Consumidor: BCP + Yape & Credicorp (holding),"S/14,010 ",BCP
Gerente de Conocimiento del consumidor: BCP + Yape,"S/14,010 ",BCP
Gerente Adjunto de Conocimiento del consumidor,"S/ 8,900 - S/ 10,000",BCP
Gerente de Estrategía Tecnológica e Innovación,"S/ 17,500 - S/ 18,000",BCP
Product Owner de Ecosistema Fondos Mutuos BCP X Credicorp Capital,"S/ 10,110 - S/ 11,110",BCP
Product Owner de FFMM en HomeBanking y Productos de Inversión,"S/10,110 ",BCP
Gerente Adjunto de Planeamiento Comercial,"S/ 9,315 - S/ 10,110",BCP
Sub Gerente de Planeamiento Comercial,"S/8,100 ",BCP
Chapter Leader ML/AI Engineering,"S/13,480 ",BCP
Deputy Manager Data Scientist,"S/11,226 ",BCP
Assistant Manager Data Scientist,"S/ 7,800 - S/ 9,762",BCP
Deputy Assistant Manager Data Scientist,"S/ 4,910 - S/ 6,780",BCP
Innovation Manager @CIX,"S/ 17,000 - S/ 18,000",BCP
Senior Product Manager | Mobile Banking,"S/ 15,000 - S/ 17,000",BCP
Subgerente Producto Cuenta Sueldo - CL BS Proficient,"S/ 8,197 - S/ 9,427",BCP
Subgerente de Estrategia Digital - Chapter Lead Business Specialist Proficient,"S/ 6,200 - S/ 7,140",BCP
Subgerente Segmento Consumo,"S/4,715 ",BCP
Chapter Leader Business Specialist Proficient / Sub Gte. Producto Pyme,"S/6,400 ",BCP
Business Specialist Senior/Sub Gte. Adjunto Producto Pyme,"S/ 4,600 - S/ 5,400",BCP
Analista de Planeamiento Comercial Senior,"S/ 3,500 - S/ 4,000",BCP
Analista de Planeamiento Comercial Junior,"S/3,000 ",BCP
PO de Ahorros y Beneficios,"S/20,700 ",BCP
Gerente Adjunto Banca Corporativa,"S/ 14,155 - S/ 15,560",BCP
Gerente Adjunto de Proyectos y Estrategia,"S/10,700 ",BCP
Sub Gerente de Proyectos y Estrategia de Banca Mayorista,"S/ 7,700 - S/ 8,855",BCP
Business Specialist Advanced,"S/3,500 ",BCP
Product Owner de Warda,"S/10,000 ",BCP
Business Specialist Senior,"S/6,095 ",BCP
Analista de Negocios Senior | Banca Empresa,"S/4,700 ",BCP
Analista de Negocios Junior | Banca Empresa Multinacional,"S/ 3,400 - S/ 3,800",BCP
Analista de Negocios Volante | Banca Empresa Multinacional,"S/3,400 ",BCP
Trainee Banca Mayorista,"S/2,100 ",BCP
Financial Planning & Control Deputy Manager,"S/ 6,610 - S/ 7,500",BCP
Analista de Planeamiento Comercial II,"S/3,200 ",BCP
Gerente de Producto Yape,"S/ 19,710 - S/ 25,000",BCP
Project Manager Digital Risk,"S/14,900 ",BCP
Business Specialist Senior Yape,"S/ 4,600 - S/ 5,000",BCP
Business Specialist Advanced Yape,"S/3,500 ",BCP
Business Specialist Yape,"S/3,010 ",BCP
Asistente de productos Yape,"S/2,500 ",BCP
Sub gerente adjunto de Estrategia & Analytics Bca Negocios,"S/ 4,900 - S/ 5,500",BCP
Analista 1 de Estrategia Bca Negocios,"S/3,900 ",BCP
Leadership Manager - People Specialist,"S/3,580 ",BCP
Journey Analyst - Transformación Cultural e Innovación,"S/3,105 ",BCP
Business Analyst - Transformación Cultural e Innovación,"S/2,700 ",BCP
Subgerente Adjunto Riesgos | Banca Negocios,"S/5,040 ",BCP
Business Specialist Advanced Yape,"S/4,200 ",BCP
Sub Gerente de Negociación y Gestión de Proveedores Corporativo,"S/6,800 ",BCP
Sub Gerente Adjunto de Negociación y Gestión de Proveedores Corporativo,"S/4,600 ",BCP
Analista Sr. de Negociación de Compras de TI,"S/ 2,800 - S/ 3,500",BCP
Credit Card Value Proposition Business Specialist Senior,"S/7,480 ",BCP
Financial Engineering Deputy Assistant Manager | Credicorp,"S/5,980 ",BCP
Financial Engineering Analyst | Credicorp,"S/ 4,600 - S/ 5,200",BCP
Tribe Leader Segmento Personas,"S/ 50,200 - S/ 54,500",BCP
Gerente de Area de Eficiencia Corporativa,"S/ 33,400 - S/ 46,500",BCP
Social Media Specialist,"S/2,500 ",BCP
Product Manager,"S/9,000 ",BCP
Senior CX Analyst,"S/3,500 ",BCP
Analista de Proyectos Sostenibilidad,"S/ 2,700 - S/ 3,000",BCP
Subgerente A. de Ventas de Derivados,"S/7,500 ",BCP
Wholesale Banking Analyst,"S/ 4,000 - S/ 4,500",BCP
Analista Senior Banca Multinacional,"S/ 3,800 - S/ 5,000",BCP
Analista de Negocios Banca Empresa,"S/3,800 ",BCP
Business-Banking Analyst,"S/ 3,800 - S/ 4,500",BCP
Asesora Principal de Redes Sociales - YAPE,"S/ 2,800 - S/ 3,200",BCP
Asesora de Redes Sociales Especializada - YAPE,"S/2,700 ",BCP
Asesora de Redes Sociales - YAPE,"S/2,500 ",BCP
Gerente Adjunto de Recaudación,"S/11,000 ",BCP
Service Designer,"S/5,000 ",BCP
Gerente Talento Digital - HR,"S/20,000 ",BCP
Cloud Engineer,"S/9,511 ",BCP
Gerente de canales IA en Centro de Contacto,"S/13,000 ",BCP
Product Owner - Canales cognitivos en Centro de Contacto (Voicebot | Whatsapp),"S/10,246 ",BCP
Product owner en canales digitales (App Banca Móvil),"S/8,900 ",BCP
Agile,"S/9,214 ",BCP
Product Owner - Mobile Banking,"S/8,900 ",BCP
Subgerente de Productos Transaccionales,"S/ 6,200 - S/ 7,130",BCP
Subgerente adj. de Productos Transaccionales,"S/4,800 ",BCP
Subgerente Adj. de Estrategia de Canales,"S/4,800 ",BCP
Analista Sr. de Estrategia de Canales,"S/4,175 ",BCP
Analista Banca Empresa - Negocios Especializados,"S/4,500 ",BCP
Supervisor Promotor Principal,"S/1,878 ",BCP
Asesor Principal - Redes Sociales,"S/2,738 ",BCP
Asesor de Redes Sociales,"S/2,508 ",BCP
Product Specialist Senior - Tribu Yape,"S/6,200 ",BCP
Sub Gerente Adjunto de Asesoría Legal,"S/5,915 ",BCP
Abogado sénior,"S/ 3,500 - S/ 3,780",BCP
Software Security Specialist Senior,"S/ 6,210 - S/ 8,900",BCP
Analista de crédito financiero,"S/2,800 ",BCP
Head de Ventas Digitales @ BCP | Tribe Leader Digital Sales & Open Market,"S/45,000 ",BCP
Asistente I Gestión Operativa,"S/2,100 ",BCP
Asistente II Gestión Operativa,"S/1,800 ",BCP
Asistente III Gestión Operativa,"S/1,500 ",BCP
Sub Gerente Adj. de Estrategias y Campañas de Comunicación Externa,"S/6,300 ",BCP
Sub Gerente Adj. de Comunicación Interna,"S/6,300 ",BCP
Gerente Adjunto de Programas Regulatorios,"S/ 9,200 - S/ 10,800",BCP
Sub Gerente Cumplimiento Normativo,"S/8,000 ",BCP
Sub Gerente Supervisión de Cumplimiento,"S/8,000 ",BCP
Pricing Strategy Jr. Analyst,"S/3,100 ",BCP
Gerente Adjunto de Cambios Pyme y Personas Naturales,"S/12,168 ",BCP
BCPxplore - Senior Analyst,"S/4,750 ",BCP
Analista de Negocios Junior de Banca Empresa,"S/ 3,400 - S/ 4,000",BCP
Analista Volante de Banca Empresa,"S/3,400 ",BCP
Trainee de Riesgos Crediticios en Banco de Credito BCP,"S/2,100 ",BCP
Sub Gerente Adjunto de Banca Empresa,"S/5,700 ",BCP
Analista Senior de Negocios Banca Corporativa,"S/4,100 ",BCP
Analista de Negocios Banca Empresa,"S/3,410 ",BCP
Analista de Negocios Volante Banca Empresa Senior,"S/2,100 ",BCP
Gerente Adjunto - Mesa de Distribución Tesorería,"S/9,600 ",BCP
Subgerente - Banca Empresa,"S/ 7,084 - S/ 7,784",BCP
Subgerente Adjunto - Banca Empresa,"S/ 5,750 - S/ 6,160",BCP
Analista de Negocios Senior - Banca Corporativa,"S/ 3,800 - S/ 5,000",BCP
Analista de Negocios Junior - Banca Empresa,"S/3,100 ",BCP
Gerente de Area Créditos Banca Corporativa,"S/ 42,900 - S/ 46,600",BCP
Gerente de Area Créditos Banca Empresas,"S/ 27,000 - S/ 39,300",BCP
Gerente de Área Banca Empresa Provincias y Segmentos Especializados,"S/ 42,900 - S/ 46,600",BCP
Gerente de Área Banca Empresa y Banca Institucional,"S/ 30,000 - S/ 39,300",BCP
Gerente de Negocios Banca Corporativa,"S/ 20,000 - S/ 25,000",BCP
Asesora II de Comunicación para BCP Xplore,"S/3,200 ",BCP
Tribe Leader - Wholesale Lending Products | Wholesale Banking Sustainability Leader,"S/ 48,400 - S/ 51,300",BCP
Executive Director - Commercial Banking,"S/ 33,000 - S/ 39,300",BCP
"Director - Corporate Banking | Energy, Oil & Gas and Conglomerates","S/29,000 ",BCP
Director - Multinational Banking,"S/27,000 ",BCP
Sub Gerente Adjunto - BCP Xplore,"S/6,500 ",BCP
Sub Gerente Adjunto Banca Multinacional,"S/5,700 ",BCP
Corporate Banking Senior Analyst - Metals & Mining Portfolio,"S/ 4,100 - S/ 4,700",BCP
Wholesale Banking Analyst,"S/3,400 ",BCP
Wholesale Banking Jr. Analyst,"S/2,100 ",BCP
Líder - BCP Xplore,"S/18,000 ",BCP
BCP Xplore Senior Relationship Manager,"S/ 11,500 - S/ 15,500",BCP
Wholesale Banking Relationship Manager,"S/ 5,700 - S/ 7,040",BCP
Senior Data Scientist,"S/4,800 ",BCP
Subgerente Adj. Data Science,"S/7,000 ",BCP
Senior Business Strategy - Data Scientist Senior,"S/4,600 ",BCP
Data Engineer Advanced,"S/3,500 ",BCP
Analista de Gestion de Informacion / Data Engineer,"S/2,800 ",BCP
Senior Data Scientist,"S/5,500 ",BCP
Sub Gte Adj De Análisis De Aplicaciones,"S/6,500 ",BCP
Analista de negocios - Trainee,"S/3,800 ",BCP
Analista Banca Empresa,"S/4,500 ",BCP
Subgerente de Transformacion de Experiencia del Cliente,"S/7,620 ",BCP
Subgerente Adjunto de Transformación de Experiencia del Cliente,"S/ 4,600 - S/ 5,520",BCP
CX Analyst,"S/2,810 ",BCP
Data Steward,"S/1,919 ",BCP
Subgerente Adjunto de Experiencia del Cliente,"S/4,600 ",BCP
Senior Data Engineer,"S/ 8,800 - S/ 9,600",BCP
Business Specialist Advanced,"S/ 3,000 - S/ 3,600",BCP
Business Specialist,"S/3,000 ",BCP
Product Owner,"S/ 6,740 - S/ 10,235",BCP
Subgerente adjunto de CRM,"S/ 5,360 - S/ 5,860",BCP
Product Designer,"S/3,500 ",BCP
Product Designer,"S/ 4,600 - S/ 5,100",BCP
Chapter Lead,"S/ 7,100 - S/ 8,900",BCP
Senior Data Engineer,"S/4,600 ",BCP
Data Engineer Advanced,"S/ 4,050 - S/ 5,900",BCP
Data Engineer,"S/3,500 ",BCP
Backend Java Software Engineer,"S/8,000 ",BCP
Digital Talent Manager,"S/ 33,400 - S/ 36,800",BCP
Gerente de Área de Experiencia del Colaborador,"S/ 18,700 - S/ 30,000",BCP
Sub Gerente Adjunto - Banca Empresa,"S/6,500 ",BCP
Corporate Banking Senior Analyst,"S/ 4,500 - S/ 5,300",BCP
Multinational Banking Analyst,"S/3,800 ",BCP
Wholesale Banking Junior Analyst,"S/3,100 ",BCP
Sub Gerente Adjunto de Mesa de Distribución,"S/6,100 ",BCP
Corporate Banking Senior Analyst - Metals & Mining Industry,"S/ 4,500 - S/ 5,300",BCP
Corporate Banking Analyst,"S/ 3,100 - S/ 3,800",BCP
Subgerente Data Scientist,"S/ 6,200 - S/ 6,820",BCP
Subgerente adjunto Data Scientist,"S/ 5,060 - S/ 5,560",BCP
Data Scientist,"S/4,400 ",BCP
Data Scientist,"S/3,565 ",BCP
Junior Data Scientist,"S/3,100 ",BCP
Trainee Data Scientist,"S/2,500 ",BCP
Gerente Adjunto de Arquitectura de Tecnología,"S/8,900 ",Interbank
Digital Communications Analyst,"S/3,500 ",Interbank
Sr Product Owner - Payments,"S/6,200 ",Interbank
Product Owner - Digital Payments & E-commerce,"S/4,100 ",Interbank
Product Owner - Digital Experience,"S/3,100 ",Interbank
Commercial Project Analyst Senior,"S/5,800 ",Interbank
Analista Producto Hipotecario,"S/5,700 ",Interbank
Analista Jr. Clima y Cultura,"S/3,000 ",Interbank
Product Senior Associate,"S/6,000 ",Interbank
Digital Payments Analyst - PO,"S/4,500 ",Interbank
Chief Executive Officer,"S/155,000 ",Interbank
VP Ejecutivo de Payments,"S/92,000 ",Interbank
VP Ejecutivo de Negocios Retail y Canales de Distribución,"S/76,000 ",Interbank
VP Ejecutivo de Negocios Retail,"S/66,000 ",Interbank
Analista Sr Gran Empresa - Banca Institucional Provincia,"S/ 3,800 - S/ 5,700",Interbank
Analista Senior Banca Gran Empresa Provincia,"S/ 3,800 - S/ 5,700",Interbank
Analista Jr de Banca Empresa - Gran Empresa,"S/3,300 ",Interbank
Analista de Negocios Sr - Gran Empresa,"S/ 3,800 - S/ 4,500",Interbank
Business associate - Adquisición de Clientes,"S/4,200 ",Interbank
Growth Hacker - Adquisición de Clientes,"S/3,000 ",Interbank
Ejecutivo de Financiamientos Estructurados,"S/7,500 ",Interbank
Corporate Finance Senior Analyst,"S/6,600 ",Interbank
Analista de Estrategia Comercial (Retail),"S/3,000 ",Interbank
Principal Agile Lead,"S/ 16,200 - S/ 17,400",Interbank
Agile Team Facilitator,"S/ 12,000 - S/ 14,600",Interbank
Scrum Master | Transformación Clientes,"S/ 8,000 - S/ 10,000",Interbank
Team Leader,"S/ 11,500 - S/ 13,400",Interbank
Analista Senior de Diversidad - Cultura y Cambio,"S/6,000 ",Interbank
Analista de Diversidad - Cultura y Cambio,"S/4,500 ",Interbank
Product Owner - Autoatencion Digital,"S/6,700 ",Interbank
Software QA Test Engineer,"S/5,500 ",Interbank
Squad Lead Estabilidad -Release Manager APP Personas,"S/6,000 ",Interbank
Software Engineer,"S/6,000 ",Interbank
Business Analyst TI|ISTQB Certified Tester Fundation|Scrum Master Professional Certificate(SMPC®),"S/6,000 ",Interbank
Software Test Engineer,"S/6,200 ",Interbank
Arquitecto de integración,"S/10,800 ",Interbank
Ingeniero de software,"S/ 6,200 - S/ 7,000",Interbank
Head Data Officer,"S/24,400 ",Interbank
Sub Gerente datos y proyectos analíticos,"S/ 15,100 - S/ 19,200",Interbank
Process Transformation Associate,"S/4,400 ",Interbank
Analista de Proyectos y Transformación de Procesos,"S/ 2,800 - S/ 4,400",Interbank
Asistente de Contratación,"S/1,800 ",Interbank
Software Engineer,"S/7,100 ",Interbank
Software Engineer,"S/7,800 ",Interbank
Team Leader,"S/10,600 ",Interbank
Lead Principal Software Engineer,"S/8,850 ",Interbank
Software engineer,"S/ 6,700 - S/ 8,000",Interbank
Team Leader,"S/9,450 ",Interbank
Technical Lead,"S/8,200 ",Interbank
Data Analyst,"S/4,500 ",Interbank
Analista en Advance Analytics & Big Data,"S/3,500 ",Interbank
Data Scientist Associate,"S/6,700 ",Interbank
Jefe de Gestión de Datos - VP Riesgos - Metodología de Riesgos,"S/ 8,500 - S/ 11,000",Interbank
Data Analyst - VP Riesgos - Modelos de Gestión de Riesgos,"S/6,100 ",Interbank
Trade Marketing Analyst,"S/ 3,000 - S/ 3,250",Interbank
Senior Business Analyst TI - Payments - Medios de Pago & Merchants,"S/9,000 ",Interbank
Ejecutiva de Estructuración Comercial,"S/5,000 ",Interbank
Relationship manager,"S/12,600 ",Interbank
Software QA Engineer,"S/7,300 ",Interbank
Martech Lead,"S/ 11,000 - S/ 11,800",Interbank
Martech Strategist,"S/9,500 ",Interbank
Project Analyst Sr - Contextual Enablers,"S/ 5,800 - S/ 7,200",Interbank
Project Analyst - Mobile&Web Analytics,"S/3,800 ",Interbank
Analytics Specialist,"S/3,000 ",Interbank
Product Owner,"S/5,050 ",Interbank
Analista de Propuesta de Valor,"S/4,800 ",Interbank
Analista de Negocios Jr.,"S/3,300 ",Interbank
FX Sales Trader - Mesa de distribución,"S/ 5,150 - S/ 7,300",Interbank
Analista de producto,"S/4,000 ",Interbank
Líder técnico de proyectos tecnológicos,"S/9,700 ",Interbank
Principal Lead en Labentana Innovation Lab | IFS,"S/15,800 ",Interbank
Software Engineer,"S/ 6,000 - S/ 7,700",Interbank
Analista Senior de Talento,"S/6,500 ",Interbank
"Go to Market Project Mid-Level Analyst, Alicorp Soluciones (B2B)","S/5,150 ",Interbank
"Go to Market Project Junior Analyst, Alicorp Soluciones (B2B)","S/3,960 ",Interbank
"Channel Strategy Entry-Level Analyst, Alicorp Soluciones (B2B)","S/3,600 ",Interbank
Key Account Executive,"S/5,250 ",Interbank
Managing Director - Transformación Digital & Advanced Analytics,"S/ 55,093 - S/ 57,018",Interbank
Category Analyst - Laundry,"S/ 4,850 - S/ 5,020",Interbank
Sales Administration Analyst Jr,"S/ 3,500 - S/ 3,780",Interbank
Analista Jr. Desarrollo Comercial DEX,"S/3,780 ",Interbank
Analista Jr. Gestión de Territorios | VP Consumo Masivo,"S/3,600 ",Interbank
Head of IMO,"S/ 10,300 - S/ 13,500",Interbank
Senior Profitability Analyst,"S/ 6,500 - S/ 7,800",Interbank
Profitability Analyst,"S/ 5,000 - S/ 5,300",Interbank
Coordinador de Gobierno y Estrategia TI,"S/7,000 ",Interbank
Analista Corporativo de Gobierno y Estrategia,"S/5,500 ",Interbank
Analista Corporativo de Gestión de Portafolio,"S/5,500 ",Interbank
Analista Junior de Proyectos de TI,"S/4,500 ",Interbank
Analista Junior de Proyectos del Programa FENIX,"S/ 3,000 - S/ 3,135",Interbank
"Gerente de Marca Instantáneos, Conservas y Salsas Culinarias","S/11,000 ",Interbank
Gerente de Marca Instantáneos y Conservas,"S/11,000 ",Interbank
Jefe de Marca Laundry – Jabones de Lavar y Quitamanchas (B2C),"S/6,820 ",Interbank
Jefe de Marca Household – Lavavajillas y Lejías (B2C),"S/6,435 ",Interbank
Ejecutivo de Marca Pleno - Detergentes (B2C),"S/ 4,500 - S/ 4,950",Interbank
Analista Jr. de Planeamiento y Control de costos - FOODS,"S/3,600 ",Interbank
Managing Director Corporativo - Logística,"S/75,458 ",Interbank
Managing Director Corporativo - Distribución y Planeamiento,"S/ 58,403 - S/ 75,458",Interbank
Jefe de Marca,"S/ 8,200 - S/ 8,460",Interbank
Analista Jr de Growth y Desarrollo de Negocios Digitales,"S/3,800 ",Interbank
Analista de Planeamiento Financiero,"S/5,500 ",Interbank
Coordinadora de Adquisición de Talento - Negocio,"S/ 6,753 - S/ 8,103",Interbank
Coordinadora de Adquisición del Talento en Alicorp,"S/ 7,103 - S/ 7,328",Interbank
Asesor comercial,"S/5,668 ",Interbank
Design Researcher,"S/4,500 ",Interbank
Analista de Planeamiento Financiero,"S/ 4,800 - S/ 5,300",Interbank
VP Recursos Humanos Corporativo,"S/ 80,093 - S/ 95,038",Interbank
Analista Jr. de Gestión de Canales,"S/3,800 ",Interbank
Jefe de marca Gastronomía - Salsas,"S/ 8,120 - S/ 8,690",Interbank
Jefe de marca Gastronomía - Aceites,"S/ 6,710 - S/ 7,250",Interbank
Jefe de marca Panificación - Mantecas y Margarinas,"S/6,100 ",Interbank
Ejecutivo de marca Panificación - Mantecas y Margarinas,"S/ 3,600 - S/ 4,600",Interbank
Credit Analyst Middle Office,"S/5,745 ",Interbank
Credit Analytics | Marketplace,"S/ 4,500 - S/ 5,085",Interbank
Ejecutivo de Marca Aceites,"S/5,530 ",Interbank
Analista de nuevos negocios,"S/5,530 ",Interbank
Analista Jr de Nuevos Negocios,"S/ 3,600 - S/ 4,030",Interbank
Director de Transformación Comercial,"S/47,348 ",Interbank
Director Ventas Canal Tradicional Perú,"S/44,353 ",Interbank
Director Trade Marketing Perú,"S/ 38,043 - S/ 41,848",Interbank
Marketing & Route To Market Executive Lead - Katu Project,"S/ 24,813 - S/ 25,928",Interbank
Gerente Ejecutivo Marketing & Trade - Intradevco,"S/24,720 ",Interbank
Analista Sr Revenue Management,"S/6,900 ",Interbank
Analista Planeamiento Financiero,"S/ 4,500 - S/ 5,200",Interbank
Analista Jr Revenue Management,"S/3,500 ",Interbank
Jefe de proyectos digitales y comerciales B2B,"S/ 4,985 - S/ 8,020",Interbank
Analista Go To Market Panaderías B2B,"S/4,700 ",Interbank
Analista de Proyectos de Analítica Avanzada,"S/3,780 ",Interbank
Analista Especialista de Adquisición de Talento,"S/ 5,103 - S/ 6,133",Interbank
Gerente de Compensaciones y Control de Gestión,"S/24,093 ",Interbank
Especialista de Desarrollo Sostenible,"S/ 6,600 - S/ 8,020",Interbank
Analista de Compras y Comex,"S/4,500 ",Interbank
Analista de Shopper Marketing,"S/4,500 ",Interbank
Analista de Desarrollo Sostenible,"S/4,500 ",Interbank
Gerente de Negocio Multicategoría,"S/28,200 ",Interbank
Gerente de Marketing Gastronomía,"S/ 20,740 - S/ 28,200",Interbank
Asistente de Compras de Materias Primas,"S/ 3,000 - S/ 3,970",Interbank
Brand Manager Industries Business B2B - Industrial Partners Brand,"S/11,245 ",Interbank
Key Account Manager - Major Industries,"S/7,945 ",Interbank
Senior of Commodity Price Risk Hedging,"S/ 6,700 - S/ 7,640",Interbank
